00000.png;139;592;244;638;1;0.81
00000.png;1818;1;1919;80;1;0.71
00000.png;536;600;656;688;1;0.63
00000.png;424;601;480;627;1;0.58
00000.png;1697;369;1786;433;1;0.31
00001.png;0;353;84;372;1;0.67
00001.png;1544;424;1919;522;1;0.53
00001.png;1830;1;1919;55;1;0.46
00001.png;1;236;134;308;1;0.39
00002.png;39;579;458;704;1;0.71
00002.png;431;626;506;692;1;0.67
00002.png;421;749;497;816;1;0.67
00002.png;1815;1;1919;65;1;0.53
00002.png;356;703;393;728;1;0.42
00002.png;1;333;137;365;1;0.40
00002.png;219;283;298;327;1;0.40
00002.png;383;715;426;764;1;0.32
00002.png;1;225;163;298;1;0.32
00003.png;1302;405;1578;583;1;0.87
00004.png;176;552;291;596;1;0.83
00004.png;1133;800;1920;1080;1;0.80
00004.png;1103;582;1138;615;1;0.78
00004.png;1354;436;1459;480;1;0.78
00004.png;1471;434;1599;478;1;0.78
00004.png;1352;483;1606;604;1;0.75
00004.png;166;609;446;672;1;0.71
00004.png;0;677;519;796;1;0.46
00005.png;1148;462;1395;531;1;0.81
00005.png;1152;518;1389;629;1;0.74
00005.png;1566;402;1608;458;1;0.43
00006.png;947;65;1219;131;1;0.79
00006.png;732;88;830;121;1;0.78
00006.png;643;285;678;313;1;0.78
00006.png;866;298;901;326;1;0.78
00006.png;938;122;1216;364;1;0.59
00006.png;1152;611;1310;660;1;0.52
00006.png;1632;759;1787;796;1;0.34
00007.png;1297;370;1594;564;1;0.92
00007.png;1516;649;1777;708;1;0.71
00007.png;63;441;130;470;1;0.50
00007.png;1729;676;1796;738;1;0.35
00008.png;1224;450;1435;608;1;0.89
00008.png;929;682;1046;710;1;0.74
00008.png;769;660;830;685;1;0.50
00009.png;1279;430;1508;578;1;0.79
00009.png;297;529;390;614;1;0.77
00009.png;1080;506;1157;528;1;0.59
00009.png;1744;445;1920;511;1;0.48
00009.png;817;631;860;668;1;0.47
00009.png;706;516;881;576;1;0.33
00009.png;1440;647;1487;697;1;0.32
00010.png;1192;465;1439;629;1;0.89
00010.png;390;521;523;617;1;0.61
00010.png;105;403;369;613;1;0.31
00011.png;1190;368;1509;623;1;0.91
00011.png;700;538;796;601;1;0.90
00012.png;1120;326;1533;622;1;0.92
00012.png;761;557;827;594;1;0.86
00013.png;749;185;990;377;1;0.87
00013.png;1235;259;1414;350;1;0.47
00014.png;804;84;1187;335;1;0.84
00014.png;181;505;511;610;1;0.66
00014.png;494;558;586;610;1;0.39
00014.png;1;545;132;605;1;0.32
00015.png;636;202;886;397;1;0.89
00015.png;883;305;1033;382;1;0.61
00015.png;821;612;883;637;1;0.51
00016.png;852;168;965;220;1;0.84
00016.png;969;167;1089;219;1;0.80
00016.png;853;223;1090;365;1;0.75
00017.png;596;189;829;389;1;0.85
00017.png;957;312;1161;541;1;0.74
00018.png;1233;367;1631;587;1;0.89
00019.png;1000;90;1172;271;1;0.75
00019.png;725;73;991;260;1;0.75
00020.png;1000;90;1172;271;1;0.75
00020.png;725;73;991;260;1;0.75
00021.png;1301;283;1484;363;1;0.84
00021.png;1296;485;1424;552;1;0.84
00021.png;1491;291;1709;371;1;0.82
00021.png;1299;365;1707;468;1;0.75
00021.png;1624;459;1665;498;1;0.48
00022.png;1389;317;1730;566;1;0.88
00022.png;1743;1054;1794;1079;1;0.87
00022.png;1468;1045;1535;1079;1;0.86
00022.png;1534;1046;1601;1079;1;0.74
00022.png;1672;1041;1747;1079;1;0.74
00023.png;734;69;1022;299;1;0.89
00024.png;1370;260;1745;500;1;0.87
00025.png;1059;503;1141;564;1;0.83
00025.png;687;440;731;481;1;0.73
00025.png;1;1013;144;1079;1;0.56
00025.png;60;164;102;233;1;0.55
00026.png;1087;306;1422;579;1;0.92
